KorhazRovid;Korhaz;SzakmaKod;SzakmaMegnev;OsszesAgy;MukodoIAgy;MukodoIIAgy;TartoSzuneteloAgy;Kiesett6HonapnalHosszabb;Kiesett6HonapnalRovidebb;TeljesithetoApolasiNapSzam;ElbocsatottBetegSzam;EltavozottBetegSzam;MasOsztalyBetegSzam;MeghaltBetegSzam;EgynaposEsetSzam;TeljesitettApolasiNapSzam;ApolasAtlTartam;Agykihasznalas;Halalozas;Ev;OsszesAtlagAgy;MukodoAtlagAgy
0551;FMC Miskolci Nefrológiai Központ;01;Belgyógyászat;36;36;36;0;0;0;13140;981;957;6;18;2;9280;9,46;70,62;1,83;2001;;
0551;FMC Miskolci Nefrológiai Központ;15;Intenzív betegellátó;4;4;4;0;0;0;1460;74;22;27;25;2;570;7,7;39,04;33,78;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;01;Belgyógyászat;70;70;70;0;0;183;25367;2958;2463;270;225;40;23148;7,83;91,25;7,61;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;02;Sebészet;50;50;50;0;0;0;18250;1713;1562;104;47;13;12675;7,4;69,45;2,74;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;03;Traumatológia;45;45;45;0;0;0;16425;1428;1367;41;20;8;12695;8,89;77,29;1,4;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;04;Szülészet-nőgyógyászat;55;55;55;0;0;0;20075;3253;3236;17;0;7;16615;5,11;82,76;0;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;05;Csecsemő- és gyermekgyógyászat;28;28;28;0;0;0;10220;1501;1498;3;0;2;6439;4,29;63;0;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;06;Fül-orr-gégészet;20;20;20;0;0;0;7300;1177;1171;4;2;7;5354;4,55;73,34;0,17;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;09;Ideggyógyászat;30;30;30;0;0;0;10950;587;489;49;49;7;7006;11,94;63,98;8,35;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;11;Urológia;20;20;20;0;0;0;7300;893;874;18;1;0;6107;6,84;83,66;0,11;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;12;Onkológia, onkoradiológia;30;30;30;0;0;0;10950;1183;1021;60;102;2;8162;6,9;74,54;8,62;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;13;Fog- és szájsebészet;4;4;4;0;0;0;1460;159;158;1;0;3;681;4,28;46,64;0;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;15;Intenzív betegellátó;8;8;8;0;0;0;2920;429;111;207;111;41;2533;5,9;86,75;25,87;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;16;Fertőző betegellátó;25;25;25;0;0;0;9125;715;592;60;63;2;7560;10,57;82,85;8,81;2001;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;18;Elmegyógyászat;30;30;30;0;0;0;10950;731;512;209;10;1;9936;13,59;90,74;1,37;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;01;Belgyógyászat;60;60;60;0;0;0;21900;2010;1717;171;122;23;14852;7,39;67,82;6,07;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;02;Sebészet;55;55;55;0;0;0;20075;2247;1994;231;22;20;16549;7,36;82,44;0,98;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;04;Szülészet-nőgyógyászat;34;34;34;0;0;0;12410;1657;1644;13;0;1;9282;5,6;74,79;0;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;05;Csecsemő- és gyermekgyógyászat;20;20;20;0;0;0;7300;1020;1020;0;0;10;4726;4,63;64,74;0;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;06;Fül-orr-gégészet;20;20;20;0;0;0;7300;684;682;2;0;0;2850;4,17;39,04;0;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;07;Szemészet;20;20;20;0;0;0;7300;980;976;4;0;0;4336;4,42;59,4;0;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;08;Bőr- és nemibeteg;20;20;9;0;0;913;6387;356;327;27;2;0;6073;17,06;95,08;0,56;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;09;Ideggyógyászat;30;30;30;0;0;0;10950;956;834;83;39;4;9512;9,95;86,87;4,08;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;12;Onkológia, onkoradiológia;20;20;20;0;0;0;7300;588;504;8;76;7;5338;9,08;73,12;12,93;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;14;Reumatológia;45;45;45;0;0;0;16425;1228;1192;36;0;0;14834;12,08;90,31;0;2001;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;15;Intenzív betegellátó;6;6;6;0;0;0;2190;382;82;205;95;28;1744;4,57;79,63;24,87;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;01;Belgyógyászat;119;119;119;0;0;0;43435;5055;4200;623;232;45;38260;7,57;88,09;4,59;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;02;Sebészet;50;50;50;0;0;0;18250;2251;2048;159;44;18;14638;6,5;80,21;1,95;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;03;Traumatológia;40;40;40;0;0;0;14600;1294;1205;70;19;19;9079;7,02;62,18;1,47;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;04;Szülészet-nőgyógyászat;50;50;50;0;0;0;18250;3069;3051;18;0;6;13803;4,5;75,63;0;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;11;Urológia;60;60;60;0;0;0;21900;2733;2627;77;29;2;17930;6,56;81,87;1,06;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;12;Onkológia, onkoradiológia;30;30;30;0;0;0;10950;1099;1000;30;69;3;5417;4,93;49,47;6,28;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;14;Reumatológia;30;30;30;0;0;0;10950;775;771;4;0;0;8622;11,13;78,74;0;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;15;Intenzív betegellátó;10;10;10;0;0;0;3650;584;147;255;182;44;3155;5,4;86,44;31,16;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;16;Fertőző betegellátó;44;44;44;0;0;0;16060;1522;1449;52;21;2;8818;5,79;54,91;1,38;2001;;
0603;Szeged Megyei Jogú Város Önkormányzat Kórháza;18;Elmegyógyászat;75;75;75;0;0;0;27375;1682;1033;605;44;1;22499;13,38;82,19;2,62;2001;;
